Category,Subcategory,Activity
Activiteiten voor aan de eettafel,Leuk en actief, (kinderen) Voorlezen
Activiteiten voor aan de eettafel,Ontspannen en passief,Manicure
Activiteiten voor aan de eettafel,Ontspannen en passief,Laat je opmaken
Activiteiten voor aan de eettafel,Uitdagend,Samen een boodschappenlijstje voor bijvoorbeeld het avondeten maken
Activiteiten om buitenshuis te doen,Nuttig,Samen op kinderen passen/spelen
Activiteiten om buitenshuis te doen,Nuttig,Kleding winkelen
Activiteiten om buitenshuis te doen,Nuttig,Samen een hond uitlaten of dier verzorgen
Activiteiten om buitenshuis te doen,Nuttig,Boodschappen doen
Activiteiten om buitenshuis te doen,Leuk en actief,Een wandeling maken
Activiteiten om buitenshuis te doen,Leuk en actief,Een picknick organiseren (eventueel met kennissen en familie)
Activiteiten om buitenshuis te doen,Leuk en actief,Familie of vrienden bezoeken
Activiteiten om buitenshuis te doen,Leuk en actief,Koffie drinken in stad of dorp
Activiteiten om buitenshuis te doen,Leuk en actief,"Dierentuin, museum of kinderboerderij bezoeken. Diverse musea bieden rondleidingen aan voor mensen met dementie"
Activiteiten om buitenshuis te doen,Leuk en actief,Voorstellingen van een bioscoop of filmhuis bezoeken
Activiteiten om buitenshuis te doen,Ontspannen en passief,"Een auto, bus, trein of taxirit maken"
Activiteiten om buitenshuis te doen,Ontspannen en passief,Een terras in de stad bezoeken
Activiteiten om buitenshuis te doen,Ontspannen en passief,Tuinieren met vrienden of familie
Activiteiten om buitenshuis te doen,Uitdagend,Loop of fiets naar een bekende of juist onbekende plek
Activiteiten om buitenshuis te doen,Uitdagend,Bezoek de Bingo
Activiteiten om buitenshuis te doen,Uitdagend,Bezoek een circus
Activiteiten om binnenshuis te doen,Leuk en actief,Het (kalme) huisdier van vrienden uitnodigen
Activiteiten om binnenshuis te doen,Leuk en actief,Meedoen met ochtendgymnastiek
Activiteiten om binnenshuis te doen,Leuk en actief,Een brief aan een familielid of kennis schrijven
Activiteiten om binnenshuis te doen,Ontspannen en passief,Laat een kort verhaal voorlezen
Activiteiten om binnenshuis te doen,Uitdagend,"Iphone/Ipad. Geschikte app's; Google Earth, Google Maps, Schaken, Dammen, youtube (filmpjes) en muziek"
Activiteiten om binnenshuis te doen,Uitdagend,Leer een kind een kinderliedje van vroeger
Activiteiten voor in de keuken,Ontspannen en passief,"In de keuken gaan zitten, terwijl het eten wordt bereid"
Activiteiten voor in de keuken,Ontspannen en passief,Samen een kopje thee drinken
Activiteiten voor in de keuken,Uitdagend,Eten koken voor gasten
Activiteiten om buitenshuis te doen,Uitdagend,Reizen
Activiteiten voor aan de eettafel,Leuk en actief,Samen breien met vrienden of familie
Activiteiten om buitenshuis te doen,Ontspannen en passief,Ga naar een restaurant
Activiteiten om buitenshuis te doen,Ontspannen en passief,Bezoek live muziek evenementen
Activiteiten om buitenshuis te doen,Leuk en actief,Sluit je aan bij vriendelijke sociale groepen
Activiteiten voor aan de eettafel,Leuk en actief,Speel eenvoudige en leuke groepsspelletjes
Activiteiten om buitenshuis te doen,Ontspannen en passief,Bezoek kunsttentoonstellingen
Activiteiten voor aan de eettafel,Ontspannen en passief,Gezellig samen praten en lachen
Activiteiten voor aan de eettafel,Nuttig,Familieverhalen en herinneringen delen
Activiteiten voor aan de eettafel,Ontspannen en passief,Samen fotoalbums bekijken
Activiteiten om buitenshuis te doen,Leuk en actief,Dansen in dementievriendelijke cafés
Activiteiten om buitenshuis te doen,Leuk en actief,Zwemmen met vrienden of familie
Activiteiten om buitenshuis te doen,Uitdagend,Meedoen aan drama- of vertelgroepen
Activiteiten voor aan de eettafel,Leuk en actief,Samen bekende liedjes zingen
Activiteiten om buitenshuis te doen,Nuttig,Ga naar een kookclub


